,name,region,Published,End
1682,On-call services for food service equipment,Maine,06/29/2021,07/23/2021
1683,WWTP FOG SCREENING IMPROVEMENTS,Oregon,06/29/2021,07/23/2021
1684,snow removal,Minnesota,06/29/2021,07/12/2021
1685,gas and diesel fuel for the 2021-2022 school year,Minnesota,06/29/2021,07/12/2021
1686,AUTOMATIC METER READING (AMR) SYSTEM AND WATER METER HARDWARE,Oregon,06/29/2021,07/22/2021
1687,Plymouth Dr & Elk Ct Storm Sewer Project,Colorado,06/29/2021,07/22/2021
1688,WINDRIDGE PHASE 2 WATER AND SANITARY SEWER REPLACEMENT,Texas,06/29/2021,07/22/2021
1689,Temporary Outdoor IceSkating Rink,Oklahoma,06/29/2021,07/22/2021
1690,INFLOW AND INFILTRATION PROJECT,Pennsylvania,06/29/2021,07/22/2021
1691,"Generator/ATS Repairs/Maintenance, Parts/Supplies District Wide",Pennsylvania,06/29/2021,07/22/2021
1692,RFP-PD-OVERTIME SCHEDULING SOFTWARE PROGRAM,Minnesota,06/29/2021,07/21/2021
1693,DOWNTOWN DISTRICT PEDESTRIAN IMPROVEMENTS,Connecticut,06/29/2021,07/22/2021
1694,US101: Big Creek Bridge Project on the Oregon Coast Highway (Rt. No. US101) near Florence,Oregon,06/29/2021,07/22/2021
1695,Small Animals Building Fair Grounds,Idaho,06/29/2021,07/21/2021
1696,Hwy 61 Water Main Extension – Muenster- man Property,Missouri,06/29/2021,07/21/2021
1697,Northfield City Hall Safety / Security Alterations Project,Minnesota,06/29/2021,07/01/2021
1698,Electrical Upgrades Pentagon Barracks,Louisiana,06/29/2021,07/21/2021
1699,"rice county LAndfiLL PrecASt WALL rePAir dundAS, minneSotA",Minnesota,06/29/2021,07/15/2021
1700,POLICE DEPARTMENT ORGANIZATIONAL REVIEW,Oregon,06/29/2021,07/21/2021
1701,2021-2022 school year materials,Pennsylvania,06/29/2021,07/21/2021
1702,2021 COOS COUNTY PAVING PROJECT,Oregon,06/29/2021,07/20/2021
1703,2020 CDBG Imminent Threat for Ground Water Well Replacement,Tennessee,06/29/2021,07/20/2021
1704,Purdam Trunk Sewer Phase 1 Project,Idaho,06/29/2021,07/20/2021
1705,Saxon Warehouse Fire Suppression Study,Oklahoma,06/29/2021,07/20/2021
1706,Inorganic aluminum coagulant,Massachusetts,06/29/2021,07/20/2021
1707,DURANT STREET NEIGHBORHOOD IMPROVEMENTS,Connecticut,06/29/2021,07/20/2021
1708,Medical Stop Loss Insurance,Rhode Island,06/29/2021,07/20/2021
1709,New Madrid Drainage Improvements,Missouri,06/29/2021,07/20/2021
1710,Contract 'A' - Roofing & Contract 'B' - Sidewalk Replacement at Developments 74-002 & 74-003,Tennessee,06/29/2021,07/20/2021
1711,Academic Support Services,New Jersey,06/29/2021,07/20/2021
1712,Furnish Unarmed Security Contract Service at University Facilities and Events on an as-needed basis for the University Police Department,Louisiana,06/29/2021,07/20/2021
1713,FEASIBILITY SCOPE OF WORK,Oregon,06/29/2021,07/19/2021
1714,Café operator,Oklahoma,06/29/2021,07/19/2021
1715,Two (2) New 2022 Tandem Axle 6x4 Heavy Duty Snow Plow Trucks,Indiana,06/29/2021,07/19/2021
1716,4 Inch Water Line Replacement,Pennsylvania,06/29/2021,07/19/2021
1717,Truenas M40 Storage,Colorado,06/29/2021,07/15/2021
1718,Reissue TOS 117 - Design and Design Support Services During Construction of Magnolia Blvd North Improvement,California,06/29/2021,07/15/2021
1719,Annual Rehabilitation FY2017 Dry Creek,Missouri,06/29/2021,07/15/2021
1720,Fresh Produce Items for School Meal Programs,Louisiana,06/29/2021,07/13/2021
1721,"Sioux Falls, South Dakota East General Aviation Apron Pavement Maintenance Project",South Dakota,06/29/2021,07/15/2021
1722,TS-2 TRAFFIC CONTROL SIGNAL CABINETS & SHELL,Louisiana,06/29/2021,07/15/2021
1723,CDBG-NDR Wetlands and Recreation Projects: Soccer Complex for Construction of the Dyersburg Soccer Complex (North & South),Tennessee,06/29/2021,07/15/2021
1724,Earl Lane ADA Curb Ramp Project,Pennsylvania,06/29/2021,07/15/2021
1725,New parking facilities at Nature Park,Idaho,06/29/2021,07/14/2021
1726,BAYSIDE PAVING & SIDEWALK IMPROVEMENT PROJECT,Maine,06/29/2021,07/14/2021
1727,LANDSCAPE ARCHITECTURAL SERVICES WANTED,Louisiana,06/29/2021,07/14/2021
1728,Fuel Pump Replacement,Tennessee,06/29/2021,07/14/2021
1729,Medical Case File Review Services,Maine,06/29/2021,07/30/2021
1730,"FRESH PRODUCE, DELIVERED WEEKLY",Louisiana,06/29/2021,07/14/2021
1731,Bid on Bread Products,Indiana,06/29/2021,07/13/2021
1732,CELESTE AVE. PAVING 2021,Idaho,06/29/2021,07/14/2021
1733,BITUMINOUS SEAL COAT PROJECT,Pennsylvania,06/29/2021,07/13/2021
1734,PROMETHEAN INTERACTIVE PANELS AND CARTS FOR SCHOOL,Maine,06/29/2021,07/01/2021
1735,DEVICE STORAGE UNITS FOR SCHOOL,Maine,06/29/2021,07/02/2021
1736,WWTP 2021 PAVING PROJECT,Pennsylvania,06/29/2021,07/13/2021
1737,2021 City of Hazleton Street Improvements,Pennsylvania,06/29/2021,07/13/2021
1738,"CR 1200  South at Wabash River  Bank Stabilization  Project, 0.87 mile east  of CR 000, Adams  County, Indiana",Indiana,06/29/2021,07/13/2021
1739,Project Development Services for the following project: US-95 Spalding & US-12 Arrow Bridges - Key No. 23333 & 23334,Idaho,06/29/2021,07/09/2021
1740,"Doors, windows, loose fill fiberglass insulation, cellulose insulation, fiberglass batts, rolls etc",Idaho,06/29/2021,07/09/2021
1741,NAMPA EAST AIRPORT TAXILANE HANGAR SEWER AND WATER EXTENSION,Idaho,06/29/2021,07/13/2021
1742,FOOD SAFETY & SANITIZATION SYSTEM & SERVICES,South Carolina,06/29/2021,07/13/2021
1743,"Project Development Services for the following project: SH 16, I-84 to US 20/26 & SH44, Key No. 20788",Idaho,06/29/2021,07/09/2021
1744,"Project Development Services for the following project: I-84 Burley & Heyburn IC, Key No. 23344 & 23345",Idaho,06/29/2021,07/09/2021
1745,Furnish and Place FB modified,Pennsylvania,06/29/2021,07/12/2021
1746,ATHLETIC TRAINING SERVICES,Wyoming,06/29/2021,07/12/2021
1747,Used Buses/Vehicles,Pennsylvania,06/29/2021,07/12/2021
1748,YEADON BOROUGH BOROUGH HALL ACCESS DOOR AND STAIRWAY INSTALLATION,Pennsylvania,06/29/2021,07/12/2021
1749,YEADON BOROUGH FITNESS COURT EQUIPMENT AT YEADON COMMUNITY PARK,Pennsylvania,06/29/2021,07/12/2021
1750,PRE-EMPLOYMENT PHYSICALS AND FIT FOR DUTY PHYSICALS,Wyoming,06/29/2021,07/09/2021
1751,Upgrades and possible installations to existing HVAC systems,Missouri,06/29/2021,07/09/2021
1752,Bazemore Sewer Improvements,Tennessee,06/29/2021,07/29/2021
1753,2021-2022 School Picture,Missouri,06/29/2021,07/07/2021
1754,LION CREEK BRIDGE REPLACEMENT DESIGN SERVICES,Idaho,06/29/2021,07/05/2021
1755,Robinson Landing Public Utility Extension,Michigan,06/29/2021,07/07/2021
1756,"Natural gas franchise, privilege, lease or right",Virginia,06/29/2021,07/06/2021
1757,deforming and then Purchasing Expended brass on hand At Fort Jackson,South Carolina,06/29/2021,Not Stated
1758,Portable Toilet Rental,Missouri,06/29/2021,07/02/2021
1759,CITY WIDE ASPHALT PAVEMENT CRACK SEALING,Alabama,06/29/2021,07/16/2021
1760,Middletown Train Station Parking Lot Camera and Revenue Control Systems,Pennsylvania,06/29/2021,07/16/2021
1761,INSTALLATION OF NEW HVAC UNITS,Oregon,06/29/2021,07/15/2021
1762,Dell EMC PowerVault ME4024 Storage Array,Michigan,06/29/2021,07/14/2021
1763,Union Public Schools High School Water Damage Repair Phase 1,Oklahoma,06/29/2021,07/15/2021
1764,CHAMBERS COUNTY PARKS PORT-APOTTY SERVICES,Texas,06/29/2021,07/14/2021
1765,Airport Road Improvements Project,Pennsylvania,06/29/2021,07/12/2021
1766,2021 Memorial Park Relocation Project,Pennsylvania,06/29/2021,07/09/2021
1767,Request for sub-contractor proposals for Baytown Public Safety – Phase One,Texas,06/29/2021,07/14/2021
1768,ASHLEY BOROUGH S. MAIN STREET STREETSCAPE IMPROVEMENTS,Pennsylvania,06/29/2021,07/12/2021
1769,2021-2022 Winter Sports Equipment and Supplies Bids,Pennsylvania,06/29/2021,07/09/2021
1770,CISCO – LTE CORE SWITCHES,Michigan,06/29/2021,07/06/2021
1771,System Integration Work for Lahaina WWRF RTU Upgrade,Hawaii,06/29/2021,08/10/2021
1772,City of Bend Signal Upgrades Project on the Local Streets in Bend,Oregon,06/29/2021,07/15/2021
1773,Laboratory Analytical Services,Indiana,06/29/2021,08/10/2021
1774,Jamison and Arch Street Pump Station Modifications,Arkansas,06/29/2021,08/10/2021
1775,New Ashcake Road Continuous Green-T Intersection,Virginia,06/29/2021,08/10/2021
1776,Avalon Fire Department 2021 Station Addition and Renovations,New Jersey,06/29/2021,08/10/2021
1777,Cedar Bay 480V Backup Blower,Florida,06/29/2021,08/10/2021
1778,Alternatives to Abortion Program Services - Dept of Social Svcs.,Missouri,06/29/2021,08/09/2021
1779,Cedar Hill State Park,Texas,06/29/2021,08/09/2021
1780,OLD CP FORCE MAIN REPLACEMENT,Oregon,06/29/2021,07/13/2021
1781,Medicaid Pharmacy Director,Delaware,06/29/2021,08/09/2021
1782,HEARING ROOM - JUSTICE SERVICES BUILDING TI - 1ST FLOOR,Oregon,06/29/2021,07/08/2021
1783,City of Salem Signal Enhancements (Unit 3) Project on the Salem & Willamina-Salem Highway (Rt. No. OR99E & OR22) in Salem,Oregon,06/29/2021,07/15/2021
1784,Building Plan Review and Inspection Services (Not Engineering),Florida,06/29/2021,08/08/2021
1785,"Control system engineering and design, control and communication panel modification, and procurement",Oregon,06/29/2021,07/06/2021
1786,AN ORDINANCE GRANTING AN EASEMENT TO THE PROPERTY OWNER AT 186 N. LOUDOUN STREET TO ALLOW A STAIRWAY TO BE CONSTRUCTED IN THE CITY’S RIGHT-OF-WA,Virginia,06/29/2021,07/13/2021
1787,Comprehensive Insurance Brokerage,Ohio,06/29/2021,08/06/2021
1788,Comprehensive Insurance Brokerage,Ohio,06/29/2021,08/06/2021
1789,"Security Infrastructure Upgrades, Monitoring & Maintenance",New Hampshire,06/29/2021,08/06/2021
1790,OR36: Indian Creek Bridge Project on the Mapleton-Junction City Highway (Rt. No. OR36) near Mapleton,Oregon,06/29/2021,07/15/2021
1791,"DBE subcontractors / vendors / service providers, for Contract 20-083X, PORTAL NORTH BRIDGE PROJECT",New Jersey,06/29/2021,08/06/2021
1792,Arkansas Road Improvements & Misc. Pavement Repairs,Oklahoma,06/29/2021,08/10/2021
1793,CONSTRUCTION MANAGER/GENERAL CONTRACTOR,Oregon,06/29/2021,07/14/2021
1794,PROFESSIONAL MANAGEMENT AND CONCESSION SERVICES FOR THE DOW EVENT CENTER AND HUNTINGTON EVENT PARK,Michigan,06/29/2021,07/07/2021
1795,"Lease approximately 2,740 net usable sq. ft.",Oklahoma,06/29/2021,07/09/2021
1796,LEAD HAZARD CONTROL OF DWELLING UNIT,Nebraska,06/29/2021,07/07/2021
1797,Broker Services to Sell the Educational Boadband Service License,Louisiana,06/29/2021,08/05/2021
1798,K-5 Math Intervention Program,New Jersey,06/29/2021,07/07/2021
1799,Hazard Mitigation Plan Development Services,Texas,06/29/2021,08/05/2021
1800,Handcox Water Treatment Plant Process Bldg HVAC Impr Project,Texas,06/29/2021,08/05/2021
1801,Electronic Transcript System,Delaware,06/29/2021,08/05/2021
1802,"Replace Emergency Generator MSHP Troop E Headquarters Poplar Bluff, Missouri",Missouri,06/29/2021,08/05/2021
1803,LIAISON SERVICES TO SUPPORT THE DISTRICT'S CAREER AND TECHNICAL EDUCATION (CTE) PROGRAM,Oregon,06/29/2021,Not Stated
1804,Midway Park Playground and Shelter Design,Georgia,06/29/2021,08/05/2021
1805,"Project # Massachuestts Sheriffs' Association - Boston, as further defined in Map Attachment C-5",Massachusetts,06/29/2021,08/05/2021
1806,"Inspection of Elevators, Escalators, Moving Walkways and ADA Lifts",Maryland,06/29/2021,08/05/2021
1807,Wells APAC Renovations,Mississippi,06/29/2021,08/05/2021
1808,SERVICES TO MANAGE THE CITY OF AMARILLO RICK HUSBAND AMARILLO INTERNATIONAL AIRPORT MARKETING AND ADVERTISIGN CAMPAIGN,Texas,06/29/2021,08/05/2021
1809,"(PCE, DBE, MBE, WBE, SBE, VBE, VOSB, SDVOSB) for: Bittersweet Water Reclamation Facility Improvements, CONTRACT 1-2021, Village of Bartlett",Illinois,06/29/2021,08/04/2021
1810,River Oaks PS 44 Service Area Water and Sewer Replacement Phase 2,Virginia,06/29/2021,08/04/2021
1811,CITY OF AMARILLO RICK HUSBAND AMARILLO INTERNATIONAL AIRPORT SRE BUILDING MODIFICATIONS,Texas,06/29/2021,08/05/2021
1812,Vibration Monitoring Sytem,Missouri,06/29/2021,08/04/2021
1813,Primate Center Chilled Water Extension,Wisconsin,06/29/2021,08/04/2021
1814,CUNY City College of New York Firehouse Renovation and Associated Asbestos Abatement Rebid,New York,06/29/2021,08/04/2021
1815,Class 3 Printing of Book Publications Collated and / or Bound,Wisconsin,06/29/2021,08/04/2021
1816,RECRUITING SERVICES TO SUPPORT THE DISTRICT'S CAREER AND TECHNICAL EDUCATION (CTE) PROGRAM,Oregon,06/29/2021,Not Stated
1817,OPERATIONS FACILITY - EARLY GRADING PACKAGE,Oregon,06/29/2021,07/21/2021
1818,223722 Recovery Support Specialist DMH Access Centers,Massachusetts,06/29/2021,08/03/2021
1819,FURNISH AND INSTALLATION OF 15 TON HOIST WITH MONORAIL,New York,06/29/2021,08/04/2021
1820,College of New York Firehouse Renovation and Associated Asbestos Abatement Rebid CR31 General Construction,New York,06/29/2021,08/04/2021
1821,"Heating, Ventilation and Air Conditioning (HVAC) Maintenance & Repair Services",Washington,06/29/2021,08/03/2021
1822,2021-2022 TOC for Flatwork and Street Improvement Package 6,Texas,06/29/2021,08/03/2021
1823,Addition & Renovation PINER ELEMENTARY,Kentucky,06/29/2021,08/03/2021
1824,Carbontech Entrepreneurial Fellowship Program (PON 4806),New York,06/29/2021,08/02/2021
1825,"North Main Street Water Main Project,",Pennsylvania,06/29/2021,08/03/2021
1826,INVESTMENT CONSULTING SERVICES,Florida,06/29/2021,08/03/2021
1827,"Construct gore paving, slope paving and irrigation upgrades.",California,06/29/2021,08/03/2021
1828,NASPO ValuePoint Fire Trucks & Fire Apparatus,South Dakota,06/29/2021,08/02/2021
1829,Comprehensive Statewide Assistive Technology Act Program Services,Vermont,06/29/2021,08/02/2021
1830,DHS is seeking proposals to enhance Adult Protective Services to respond to COVID-19.,Minnesota,06/29/2021,08/02/2021
1831,Implementation of Website Redesign,New York,06/29/2021,08/02/2021
1832,Broadband Feasibility and Implementation Strategy,Texas,06/29/2021,08/02/2021
1833,Orange County 13th Floor Courtrooms Buildout,Florida,06/29/2021,07/29/2021
1834,Behavorial Health Stabilization Homes for Individuals with Intellectual and/or Developmental Disabilities,New Jersey,06/29/2021,07/02/2021
1835,Regional Greenhouse Gas (GHG) Emission and Inventory,California,06/29/2021,07/30/2021
1836,Lubricant Products,Florida,06/29/2021,08/02/2021
1837,Sacramento Regional Emergency Preparedness Plan (RFP# 2021-02),California,06/29/2021,07/30/2021
1838,Request for Proposals for Retirement Plan Administration and Record Keeping Services,Washington,06/29/2021,07/30/2021
1839,Purchase of One (1) Mobile Tower Trailer,Georgia,06/29/2021,07/05/2021
1840,Comprehensive paratransit software package,Montana,06/29/2021,07/30/2021
1841,Voter Education Program,Hawaii,06/29/2021,07/30/2021
1842,BGS CLERK OF THE WORKS BERLIN PUBLIC SAFETY FACILITY,Vermont,06/29/2021,07/30/2021
1843,CLERK OF THE WORKS BERLIN PUBLIC SAFETY FACILITY,Vermont,06/29/2021,07/30/2021
1844,Construction Services for Paradise Hills Community Center Addition,New Mexico,06/29/2021,07/30/2021
1845,SD 160 Gearbox Training RFP 21-03448JH,Utah,06/29/2021,07/30/2021
1846,Strategic Planning Consultation,Wyoming,06/29/2021,07/30/2021
1847,SD 160 Gearbox Training,Utah,06/29/2021,07/30/2021
1848,Combined Childcare Center Feasibility Study Professional Services,Colorado,06/29/2021,07/30/2021
1849,2021-2022 TOC for Flatwork and Street Improvement Package 5,Texas,06/29/2021,07/30/2021
1850,Electrical Contractor,Delaware,06/29/2021,07/30/2021
1851,Concrete Mix-Rapid Setting,Texas,06/29/2021,07/30/2021
1852,Renovations of Dorm Rooms FOR BIDDEFORD FIRE DEPARTMENT CENTRAL FIRE STATION,Maine,06/29/2021,07/30/2021
1853,Airfield Lighting and Component Parts,Texas,06/29/2021,07/30/2021
1854,Body Removal and Transport Services,Florida,06/29/2021,07/30/2021
1855,DOW and DOSD Energy Audit Professional Services,Ohio,06/29/2021,07/30/2021
1856,Behavioral Health Measure Based Care Solution,Texas,06/29/2021,07/21/2021
1857,3000 Gallon ARFF Truck,Indiana,06/29/2021,07/30/2021
1858,Compensation Consultant Services,Texas,06/29/2021,07/22/2021
1859,Provide meals to students,Texas,06/29/2021,07/21/2021
1860,HVAC Replacement & Renovations at Haltom High School,Texas,06/29/2021,07/20/2021
1861,TCCD District Portable DBD BPI Purchase,Texas,06/29/2021,07/13/2021
1862,Asset Disposal Management,Texas,06/29/2021,07/19/2021
1863,TCCD District Needlepoint BPI Purchase_Install.,Texas,06/29/2021,07/13/2021
1864,"Electric Fish Barrier Inspection, Maintenance and Repair",Minnesota,06/29/2021,07/01/2021
1865,Bellingham High School Fire Alarm Replacement,Washington,06/29/2021,07/14/2021
1866,Electronic Health and Medical Records,Texas,06/29/2021,07/09/2021
1867,TCCD District DBD BPI Purchase_Install,Texas,06/29/2021,07/13/2021
1868,Electronic resulting for equine infectious anemia tests,Alabama,06/29/2021,07/30/2021
1869,"Swimming Pool Chemicals, Supplies, Equipment and Repairs",Texas,06/29/2021,07/12/2021
1870,"Green Road Station, W. 159th Loop, W. 33rd Loop Catch Basin Repairs; Project 17.34",Ohio,06/29/2021,07/30/2021
1871,Mail Inserting System,California,06/29/2021,07/29/2021
1872,A&E On-Call Hydraulics Engineering Services,California,06/29/2021,07/29/2021
1873,Truck Driving Simulator and Service,North Dakota,06/29/2021,07/29/2021
1874,Orange County Courthouse Public Defender Office Space Renovations,Florida,06/29/2021,07/29/2021
1875,Waller Creek Inlet Facility Catenary Screen Pilot,Texas,06/29/2021,07/29/2021
1876,Develop a COVID-19 Operations plan,Utah,06/29/2021,07/09/2021
1877,Bees Ferry Road at Sanders Road Traffic Signal TST,South Carolina,06/29/2021,07/29/2021
1878,Inspection of Fire Extinguishers and Fixed Extinguishing Systems,Florida,06/29/2021,07/29/2021
1879,IT Darkweb Immune System Software,Texas,06/29/2021,07/29/2021
1880,Holly Implementation Phase 1 - Lake Front Trail,Texas,06/29/2021,07/29/2021
1881,2021 Large Meter / Vault Replacements,North Carolina,06/29/2021,07/29/2021
1882,2021 Sewer and Water Replacement Project,Nevada,06/29/2021,07/27/2021
1883,District Wide General Construction (GB-98) Services,New Mexico,06/29/2021,07/27/2021
1884,Development and Support of a Mobile App for Marine Assessment,Mississippi,06/29/2021,07/29/2021
1885,Sexual Assault Evidence Collection Kits,North Carolina,06/29/2021,07/29/2021
1886,RFP for Racial Equity Strategic Planning Services,Michigan,06/29/2021,07/26/2021
1887,Piedmont Lake Dredging Project,North Carolina,06/29/2021,07/29/2021
1888,Transit Advertising Sales & Management Agency,Michigan,06/29/2021,07/29/2021
1889,EASTRAIL WOODINVILLE – NE 145TH ST CONNECTION,Washington,06/29/2021,07/19/2021
1890,ADA Improvements,Washington,06/29/2021,07/15/2021
1891,26 Modular Home,New Mexico,06/29/2021,07/23/2021
1892,Professional engineering design services,New Mexico,06/29/2021,07/02/2021
1893,CONTRACTED SERVICES,Texas,06/29/2021,07/15/2021
1894,Information Technology Hardware and Software,Arizona,06/29/2021,07/02/2021
1895,Design-Build Services for the Greenpond Community Center,South Carolina,06/29/2021,07/29/2021
1896,Calcium Hypochlorite for City Warehouse,Texas,06/29/2021,07/29/2021
1897,CRACK SEALING project,Ohio,06/29/2021,07/29/2021
1898,CULVERT REPLACEMENT project,Ohio,06/29/2021,07/29/2021
1899,Feasibility Study (VISTA Theater Renovation),Virginia,06/29/2021,07/15/2021
1900,"Demolition of Dwellings - 535,556,623,627,631,638 & 664 Columbia Street – New Milford, Bergen County, NJ",New Jersey,06/29/2021,07/29/2021
1901,"IDIQ Repair, Replace & Install Water & Sanitary Sewer Lines",Virginia,06/29/2021,07/08/2021
1902,MONTGOMERY COUNTY – SR 0000(APM),Pennsylvania,06/29/2021,07/29/2021
1903,PHILADELPHIA COUNTY – SR 7301(185),Pennsylvania,06/29/2021,07/29/2021
1904,FAYETTE COUNTY – SR 0000(---),Pennsylvania,06/29/2021,07/29/2021
1905,Jaffrey Meetinghouse Tower Rehabilitation,New Hampshire,06/29/2021,08/20/2021
1906,LEBANON COUNTY – SR 4010(012),Pennsylvania,06/29/2021,07/29/2021
1907,MONTGOMERY COUNTY – SR 0000(GRA),Pennsylvania,06/29/2021,07/29/2021
1908,LACKAWANNA COUNTY – SR 307(D54),Pennsylvania,06/29/2021,07/29/2021
1909,WESTMORELAND COUNTY â SR 981(Q20),Pennsylvania,06/29/2021,07/29/2021
1910,Government Relations Services,Arizona,06/29/2021,07/28/2021
1911,WASTE REMOVAL SERVICES (VARIOUS LOCATIONS),Tennessee,06/29/2021,07/28/2021
1912,Long Term and Short Term Disability Insurance,Florida,06/29/2021,07/28/2021
1913,Multi-Systemic Therapy,Georgia,06/29/2021,07/28/2021
1914,Online Live and Automated Chat Services,New Mexico,06/29/2021,07/28/2021
1915,Annual Auditing Services,South Carolina,06/29/2021,07/28/2021
1916,"LOCAL LET MAINTENANCE CONTRACT, POTTER CO, METAL BEAM GUARD FENCE REPAIR",Texas,06/29/2021,07/28/2021
1917,Boiler Upgrade and Power Heating Installation,Wisconsin,06/29/2021,07/28/2021
1918,SEAVIEW AVENUE CORRIDOR IMPROVEMENTS,Connecticut,06/29/2021,07/28/2021
1919,TIA Band 3 Resurfacing,Georgia,06/29/2021,07/28/2021
1920,Willow Avenue Roadway Improvements,New Jersey,06/29/2021,07/28/2021
1921,Auditing Services,Mississippi,06/29/2021,07/28/2021
1922,Frank E. Van Lare Water Resource Recovery Facility Aeration System Improvements Poject - Phase B,New York,06/29/2021,07/28/2021
1923,KINGSWOOD PUMP STATION UPGRADES,New Jersey,06/29/2021,07/28/2021
1924,Coco Point Park and Lakewood Park Playground ADA Improvements and Construction,Florida,06/29/2021,07/28/2021
1925,Invitation For Bids No. 2021-44 Fire Hydrant Replacement Program,Maryland,06/29/2021,07/28/2021
1926,2021 27 Monocacy Way Trail Improvements,Pennsylvania,06/29/2021,07/28/2021
1927,Hazmat detection monitors,Missouri,06/29/2021,07/28/2021
1928,"SURPLUS PROPERTY- NORTH BEACH PARKING PLAZA GARAGE (NORTH BEACH PLAZA CONDO UNIT PUB; 450 SPACES) 490 POINSETTIA AVENUE,CLEARWATER, FL",Florida,06/29/2021,07/28/2021
1929,"Roof Replacement at the Public Service Building in Lake City, SC",South Carolina,06/29/2021,07/28/2021
1930,Indian Creek Remove Fish Barrier,Washington,06/29/2021,07/28/2021
1931,DOC IT Professional Services,Washington,06/29/2021,07/28/2021
1932,Chain saws and chains,Missouri,06/29/2021,07/28/2021
1933,Tactical headsets,Missouri,06/29/2021,07/28/2021
1934,Portable x-ray units,Missouri,06/29/2021,07/28/2021
1935,WINCHESTER BAY CRAB DOCK REPAIRS,Oregon,06/29/2021,07/27/2021
1936,Remote Firing Initiator Device,Arizona,06/29/2021,07/27/2021
1937,Eastern Avenue Resurfacing (43rd to 46th),Iowa,06/29/2021,07/13/2021
1938,"Windscreen, Protective Net and Batters Eye Repair",Arizona,06/29/2021,07/27/2021
1939,"CITYWIDE PARKWAY MAINTENANCE, STREET REHABILITATION, AND SLURRY SEAL PROJECT",California,06/29/2021,07/27/2021
1940,SHADE SCREEN CANOPY REPAIR AND REPLACEMENT,Arizona,06/29/2021,07/27/2021
1941,Culvert Replacement Project - 2021,Ohio,06/29/2021,07/13/2021
1942,PIPE SUPPLIES WWTPS,Alabama,06/29/2021,07/27/2021
1943,BOARD ROOM A/V,Georgia,06/29/2021,07/27/2021
1944,Preliminary Engineering – Disinfection Improvements Water Reclamation Facilities,Wisconsin,06/29/2021,07/27/2021
1945,Background Verification Services,Virginia,06/29/2021,07/27/2021
1946,Supplemental MSU-TechLink Economic Research Specialist Services,Montana,06/29/2021,07/27/2021
1947,Sanitary Sewer Chemical Root Control,Georgia,06/29/2021,07/27/2021
1948,"ATHENS, OHIO LIFT STATIONS TELEMETRY UPGRADE",Ohio,06/29/2021,07/20/2021
1949,TT Fire Suppression project,Ohio,06/29/2021,07/20/2021
1950,Chauncey Parking Lot Addition and Renovation,Ohio,06/29/2021,07/20/2021
1951,TT Math Renovation project,Ohio,06/29/2021,07/20/2021
1952,City of Bellefontaine Street Resurfacing Program,Ohio,06/29/2021,07/20/2021
1953,Small Diameter Sewer Cleaning,Georgia,06/29/2021,07/27/2021
1954,Water Well Plugging,Texas,06/29/2021,07/27/2021
1955,Design-Build Services,Ohio,06/29/2021,07/27/2021
1956,To remove and reinstall an asphalt shingle and rubber roof and reside one wall of damaged siding to a city building,Ohio,06/29/2021,07/15/2021
1957,"The improvement of Hoover Rd over Tributary of Grant Run (JAC-CR262-2.04) in Jackson Township, Franklin County, Ohio",Ohio,06/29/2021,07/13/2021
1958,2021 Catch Basin Repair Program,Ohio,06/29/2021,07/14/2021
1959,Purchase of Various Construction Materials Needed for the Operation of the Water Department,Ohio,06/29/2021,07/09/2021
1960,2021 City Fiber Optic Project,Ohio,06/29/2021,07/14/2021
1961,BULK DE-ICING SALT PURCHASE,Ohio,06/29/2021,07/13/2021
1962,"the improvement of Olentangy River Rd 11.40 over Carhart Ditch (SHA-CR9-11.40) & Olentangy River Rd 11.62 over Linworth Run (SHA-CR9-11.62) in Sharon Township, Franklin County, Ohio",Ohio,06/29/2021,07/13/2021
1963,Supplemental Information Systems/Technology Support Services,Missouri,06/29/2021,07/09/2021
1964,Office of Real Estate - Real Estate Management Solutions,Texas,06/29/2021,07/27/2021
1965,Removal and Replacement of 14 School Marquees,Texas,06/29/2021,07/27/2021
1966,2021 PORT DOCK VENDOR PROGRAM CONTRACT,Alaska,06/29/2021,07/02/2021
1967,Mobile Radio Repair,Missouri,06/29/2021,07/27/2021
1968,Direct Lobbying Representation,Wisconsin,06/29/2021,07/27/2021
1969,ITC Classroom Lighting Replacement,Kansas,06/29/2021,07/27/2021
1970,"Cured In Place Pipe Repair of Various Storm Sewers, Phase 2",Ohio,06/29/2021,07/13/2021
1971,BR 3-254 N&S on US 13 over NANTICOKE RIVER,Delaware,06/29/2021,07/27/2021
1972,Vehicles,Ohio,06/29/2021,07/13/2021
1973,Pump Station No. 8 Rehabilitation Project,Mississippi,06/29/2021,07/27/2021
1974,Development and Support of a Mobile App for Marine Assessment,Mississippi,06/29/2021,07/27/2021
1975,Drainage Improvements at Rokeby Avenue,Maryland,06/29/2021,07/27/2021
1976,Perimeter Gate Replacement,Michigan,06/29/2021,07/27/2021
1977,Emergency Generator Service “As Needed”,New Jersey,06/29/2021,07/20/2021
1978,"ROUTE 20 WATERLINE REPLACEMENT MONROEVILLE, OHIO",Ohio,06/29/2021,07/16/2021
1979,Paving project totaling approximately 2.25 miles,Ohio,06/29/2021,07/13/2021
1980,One (1) 12 Passenger Van,Maine,06/29/2021,07/27/2021
1981,Combined Schleppi Road Drainage Improvement and Schleppi Road Bridge Replacement,Ohio,06/29/2021,07/13/2021
